,vehicle,elapsedTime,numAlivePlayers,_D,_T,distance,MatchId,name,teamId,health,ranking,accountId,isInBlueZone,isInRedZone,location.x,location.y,location.z,isGame
0,,0.0,62.0,2020-04-03T23:57:43.099Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,lan_dong_laji,4,100.0,0,account.fe68bd1ff24146c9a6acf816b74a626d,False,False,109491.0546875,82563.2734375,3438.111572265625,0.0
1,,0.0,62.0,2020-04-03T23:57:43.132Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,shimly99,10,100.0,0,account.d17ceb3bbb5b4958a2f83a6c18aba477,False,False,156442.421875,155464.46875,690.0999755859375,0.0
2,,0.0,62.0,2020-04-03T23:57:43.132Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,BYDLT,8,100.0,0,account.fdf8fbee3319496ab4bfc27fa352d2d5,False,False,138722.1875,56527.80859375,683.8999633789062,0.0
3,,0.0,62.0,2020-04-03T23:57:43.132Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,Mr_van-Gogh666,3,100.0,0,account.646e3b7735d3444f935abd4ad8e7174b,False,False,156986.3125,156020.390625,687.0299682617188,0.0
4,,0.0,62.0,2020-04-03T23:57:43.165Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,4AM--huangfei,1,100.0,0,account.2f3d6366caf6484eb69f8b1c7949ed50,False,False,138894.5,55392.12890625,826.2899780273438,0.0
5,,0.0,62.0,2020-04-03T23:57:43.198Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,Ckn19940924,1,100.0,0,account.1cef245741e14d8594da344d6e46de43,False,False,137865.421875,55472.45703125,690.8999633789062,0.0
6,,0.0,62.0,2020-04-03T23:57:43.198Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,huyaTV_7836502,2,100.0,0,account.0164b93582bb4cd695933eb7903e3342,False,False,108406.9375,83087.8046875,3631.221923828125,0.0
7,,0.0,62.0,2020-04-03T23:57:43.264Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,zxcv525,10,100.0,0,account.7808bdc312b947009deaabe5b6fd00d2,False,False,156229.859375,155985.359375,687.0299682617188,0.0
8,,0.0,62.0,2020-04-03T23:57:43.298Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,FFakin,9,100.0,0,account.c4fbf5ab51204f75b04f6bae0378d53b,False,False,157057.53125,155784.078125,687.0299682617188,0.0
9,,0.0,62.0,2020-04-03T23:57:43.298Z,LogPlayerPosition,,match.bro.official.pc-2018-06.steam.squad.as.2020.04.03.23.f235cd92-1ab9-4902-88b8-747b7dafb8bd,Poi_QvQ,4,100.0,0,account.8ec11d12a4cb4874bc79df8bbbe19d7d,False,False,109139.3359375,82026.4453125,3403.45703125,0.0
